age,bmi,children,region,smoker,sex,bmi_smoker,charges
46,19.95,2,northwest,no,female,0.0,9193.8385
47,24.32,0,northeast,no,female,0.0,8534.6718
52,24.86,0,southeast,no,female,0.0,27117.99378
39,34.32,5,southeast,no,female,0.0,8596.8278
54,21.47,3,northwest,no,female,0.0,12475.3513
63,41.47,0,southeast,no,male,0.0,13405.3903
22,24.3,0,southwest,no,female,0.0,2150.469
18,21.565,0,northeast,yes,male,21.565,13747.87235
40,41.23,1,northeast,no,male,0.0,6610.1097
37,34.2,1,northeast,yes,male,34.2,39047.285
34,22.42,2,northeast,no,male,0.0,27375.90478
50,37.07,1,southeast,no,male,0.0,9048.0273
49,29.925,0,northwest,no,female,0.0,8988.15875
64,39.33,0,northeast,no,female,0.0,14901.5167
46,25.8,5,southwest,no,male,0.0,10096.97
50,32.205,0,northwest,no,male,0.0,8835.26495
36,33.4,2,southwest,yes,male,33.4,38415.474
25,26.22,0,northeast,no,male,0.0,2721.3208
51,37.73,1,southeast,no,female,0.0,9877.6077
52,41.8,2,southeast,yes,male,41.8,47269.854
30,27.645,1,northeast,no,male,0.0,4237.12655
25,35.625,0,northwest,no,male,0.0,2534.39375
18,31.92,0,northeast,no,female,0.0,2205.9808
57,28.1,0,southwest,no,male,0.0,10965.446
27,17.955,2,northeast,yes,female,17.955,15006.57945
48,35.625,4,northeast,no,male,0.0,10736.87075
45,24.31,5,southeast,no,male,0.0,9788.8659
54,24.035,0,northeast,no,male,0.0,10422.91665
49,37.51,2,southeast,no,male,0.0,9304.7019
26,19.8,1,southwest,no,female,0.0,3378.91
22,28.05,0,southeast,no,female,0.0,2155.6815
24,40.15,0,southeast,yes,male,40.15,38126.2465
34,30.8,0,southwest,yes,male,30.8,35491.64
39,45.43,2,southeast,no,male,0.0,6356.2707
19,30.59,2,northwest,no,female,0.0,24059.68019
19,26.03,1,northwest,yes,male,26.03,16450.8947
59,29.7,2,southeast,no,male,0.0,12925.886
30,35.53,0,southeast,yes,male,35.53,36950.2567
20,30.59,0,northeast,no,female,0.0,2459.7201
64,33.88,0,southeast,yes,male,33.88,46889.2612
34,42.13,2,southeast,no,male,0.0,5124.1887
18,38.28,0,southeast,no,female,0.0,14133.03775
35,27.7,3,southwest,no,female,0.0,6414.178
18,30.03,1,southeast,no,male,0.0,1720.3537
25,24.13,0,northwest,yes,male,24.13,15817.9857
62,33.2,0,southwest,no,female,0.0,13462.52
21,22.3,1,southwest,no,male,0.0,2103.08
54,30.8,3,southwest,no,female,0.0,12105.32
55,33.0,0,southeast,no,male,0.0,20781.48892
